Response,Feature,Index,g, theta, ERR
0,x0 ,4,0.968309, 0.99823,0.994566
0,x0 x1 u0 ,13,-0.318236, -0.398968,0.00444689
0,x0 x1 x2 u0 ,15,0.00293729, 0.00451447,0.000402458
0,x1 x2 ,7,-0.000203182, -0.000203182,3.20029e-05
1,x1 ,3,0.95364, 0.915703,0.994672
1,x0 x1 u0 ,13,0.341962, 0.294559,0.00305995
1,x0 x1 x2 u0 ,15,-0.00327673, -0.00353043,0.00029135
1,x0 u0 ,8,4.67543, 4.67543,2.6856e-05
2,x2 ,2,1.01441, 1.00018,0.998847
2,x1 ,3,0.100885, 0.0963534,0.00103318
2,x0 x1 u0 ,13,0.0364214, 0.0360127,3.64021e-06
2,x0 x1 x2 u0 ,15,-0.000403486, -0.000403486,4.71179e-07
